Type,Name,Date
National Holiday,Independence Day,2017-07-04
Culture Event,US Open,2017-09-10
National Holiday,Labour Day,2017-09-04
National Holiday,Columbus Day,2017-10-09
National Holiday,Thanksgiving Day,2017-11-23
National Holiday,Christmas Day,2017-12-25
National Holiday,New Year Eve Day,2017-12-31
National Holiday,New Year's Day,2018-01-01
Extreme Weather,Blizzard,2018-01-04
Extreme Weather,Blizzard,2018-01-05
National Holiday,"Martin Luther King, Jr. Day",2018-01-15
Culture Event,Women's March,2018-01-20
National Holiday,Presidents' Day,2018-02-19
National Holiday,Memorial Day,2018-05-28
National Holiday,Independence Day,2018-07-04
Culture Event,US Open,2018-09-08
National Holiday,Labour Day,2018-09-03
National Holiday,Columbus Day,2018-10-08
Extreme Weather,Storm,2018-11-15
National Holiday,Thanksgiving Day,2018-11-22
National Holiday,Christmas Day,2018-12-25
National Holiday,New Year Eve,2018-12-31
